Абай;49.632575;72.863955;
Акколь;51.996794;70.944489;
Аксай;51.171123;53.014226;
Аксу;50.081831;76.894125;
Актау;43.668653;51.242979;
Актобе;50.294660;57.208203;
Алга;49.904316;57.329335;
Алматы;43.251684;76.895072;
Арал;46.803171;61.670417;
Аркалык;50.258370;66.913492;
Арыс;42.424836;68.813986;
Астана;51.155589;71.432880;
Атбасар;51.816597;68.363241;
Атырау;47.116416;51.925349;
Аягоз;47.969484;80.435990;
Байконыр;45.622546;63.309955;
Балхаш;46.849900;74.973405;
Булаево;54.899404;70.454858;
Державинск;51.102118;66.302427;
Ерейментау;51.624163;73.107276;
Есик;43.352038;77.464256;
Есиль;51.951478;66.410894;
Жанаозен;43.348990;52.866681;
Жанатас;43.563147;69.737992;
Жаркент;44.184628;80.012955;
Жезказган;47.789443;67.706937;
Жем;48.769495;58.067573;
Жетысай;40.776766;68.325005;
Житикара;52.191306;61.245345;
Зайсан;47.471571;84.878783;
Зыряновск;49.726409;84.261188;
Казалинск;45.764946;62.102022;
Кандыагаш;49.455278;57.417254;
Капшагай;43.858924;77.064782;
Караганды;49.803609;73.087802;
Каражал;48.007288;70.795641;
Каратау;43.175290;70.462875;
Каркаралинск;49.410584;75.470198;
Каскелен;43.200854;76.626634;
Кентау;43.513224;68.506322;
Кокшетау;53.292562;69.412213;
Костанай;53.212832;63.616332;
Кулсары;46.955624;54.005869;
Курчатов;50.754606;78.532517;
Кызылорда;44.833660;65.521872;
Ленгер;42.181662;69.889364;
Лисаковск;52.543752;62.499846;
Макинск;52.631485;70.430606;
Мамлютка;54.939330;68.540783;
Павлодар;52.296403;76.979564;
Петропавловск;54.879206;69.145684;
Приозёрск;46.033002;73.687126;
Риддер;50.343283;83.509139;
Рудный;52.975378;63.104739;
Сарань;49.794737;72.829617;
Сарканд;45.411756;79.917469;
Сарыагаш;41.466613;69.179749;
Сатпаев;47.899733;67.540340;
Семей;50.411974;80.250116;
Сергеевка;53.877953;67.406230;
Серебрянск;49.683061;83.293190;
Степногорск;52.354228;71.891956;
Степняк;52.827853;70.788088;
Тайынша;53.847706;69.765543;
Талгар;43.302853;77.239830;
Талдыкорган;45.012475;78.380926;
Тараз;42.894854;71.376413;
Текели;44.865647;78.778755;
Темир;49.142188;57.124915;
Темиртау;50.062314;72.982200;
Туркестан;43.295915;68.259557;
Уральск;51.234868;51.388875;
Усть-Каменогорск;49.966014;82.586927;
Ушарал;46.170316;80.945678;
Уштобе;45.247746;77.980485;
Форт-Шевченко;44.507091;50.257596;
Хромтау;50.254903;58.448467;
Шардара;41.265971;67.965803;
Шалкар;47.824999;59.616193;
Шар;49.587202;81.047387;
Шахтинск;49.711092;72.586029;
Шемонаиха;50.616966;81.890887;
Шу;43.605647;73.755898;
Шымкент;42.330569;69.592546;
Щучинск;52.930170;70.185362;
Экибастуз;51.722075;75.317545;
Эмба;48.826804;58.142137;
